site,point_de_prelevement,date,heure,e_coli_npp_100ml,enterocoques_npp_100ml,id_point_prelevement,desc_point_prelevement
PLAGE DE LA PROMENADE PIERRE VERNIER,"P18060, anse de la pointe (milieu)",2025-09-04,08:12,10.0,10.0,P18060,anse de la pointe (milieu)
PLAGE DE LA PROMENADE PIERRE VERNIER,"P18061, anse de l'école de voile (milieu)",2025-09-11,08:54,10.0,10.0,P18061,anse de l'école de voile (milieu)
PLAGE DE MAGENTA,"P18032, Face bout de piste aérodrome",2025-09-15,08:35,41.0,10.0,P18032,Face bout de piste aérodrome
PLAGE DE LA PROMENADE PIERRE VERNIER,"P18059, anse des Hobie Cats (milieu)",2025-09-18,08:24,121.0,10.0,P18059,anse des Hobie Cats (milieu)
PLAGE DU KUENDU BEACH,"P18048, Face entrée du Kuendu Beach",2025-09-18,08:52,146.0,75.0,P18048,Face entrée du Kuendu Beach
PLAGE DE LA BAIE DES CITRONS,"P18049, Face The Beach House",2025-09-22,06:59,98.0,10.0,P18049,Face The Beach House
PLAGE DE LA BAIE DES CITRONS,"P18050, Face allée centrale Mirage plaza",2025-09-22,07:04,63.0,20.0,P18050,Face allée centrale Mirage plaza
PLAGE DE LA BAIE DES CITRONS,"P18141, Face la Guinche",2025-09-22,07:09,30.0,175.0,P18141,Face la Guinche
PLAGE DE L'ANSE VATA,"P18053, Face Fun Beach (milieu de plage)",2025-09-22,07:16,131.0,20.0,P18053,Face Fun Beach (milieu de plage)
PLAGE DE L'ANSE VATA,"P18054, Face Burger king",2025-09-22,07:21,20.0,10.0,P18054,Face Burger king
PLAGE DE L'ANSE VATA,"P18055, Face Communauté du Pacifique",2025-09-22,07:26,121.0,10.0,P18055,Face Communauté du Pacifique
PLAGE DE L'ANSE VATA,"P18056, Face Nouvata Park hotel",2025-09-22,07:33,110.0,10.0,P18056,Face Nouvata Park hotel
